,Tweets
0,OH MY GOD IT'S 52! 
1,"Done,  

TRUDYLH20 ~  "
2,"Absolutely,  

Trudy Daves  "
3,"Hey, The number is 35! "
4,"Of more than 140,000 Twitter users who announced they were moving to Mastodon using tags like  or , just 1.6 per cent have actually quit the social media platform "
5,You are not gonna believe it.. It's 13! 
6,Guess what... It's 63! 
7,"Are you ready for the hype? Ready, Set... IT'S 95!!! "
8,"Hey, The number is 46! "
9,"Situation Report        



 "
10,"Hey, The number is 76! "
11,"Are you ready for the hype? Ready, Set... IT'S 17!!! "
12,You are not gonna believe it.. It's 95! 
13,"Hey, The number is 43! "
14,"Are you ready for the hype? Ready, Set... IT'S 85!!! "
15,The number is.. 12! 
16,The number is.. 55! 
17,"Hey, The number is 21! "
18,"Situation Report        



 "
19,The number is.. 83! 
20,"Um, elonmusk, can U please delay the Twitter breakdown for like, another week or so? Get rid of ? You see, …"
21,Guess what... It's 85! 
22,"Are you ready for the hype? Ready, Set... IT'S 53!!! "
23,"Are you ready for the hype? Ready, Set... IT'S 42!!! "
24,"Still selling tickets for Taylor swift concert for July 23rd @ Lumen Field - Seattle, WA,..  
       "
25,The number is.. 84! 
26,"got  tickets for Taylor swift concert for July 23rd @ Lumen Field - Seattle, WA, Minnesota..text me if you want them 🚶  
       "
27,"Selling my tickets for Taylor swift concert for Fri April 14th @ Raymond James stadium - Tampa,FL.. anyone?? 
       "
28,"I still got  tickets for Taylor swift concert for July 23rd @ Lumen Field - Seattle, WA,..text me if you want them 🚶  
       "
29,Guess what... It's 33! 
30,"Hey, The number is 63! "
31,You are not gonna believe it.. It's 43! 
32,You are not gonna believe it.. It's 23! 
33,The number is.. 58! 
34,"Migration to other social media platforms shows no signs of slowing following Elon Musk's chaotic takeover at Twitter, report says. Mastodon is growing by approximately 1.5 million new users per month.    "
35,Guess what... It's 70 sooo close! 
36,The number is.. 98! 
37,"Careful, Because it's 5! "
38,"Careful, Because it's 58! "
39,"Careful, Because it's 94! "
40,Guess what... It's 59! 
41,Guess what... It's 91! 
42,"Are you ready for the hype? Ready, Set... IT'S 20!!! "
43,"Hey, The number is 68 sooo close! "
44,OH MY GOD IT'S 48! 
45,You are not gonna believe it.. It's 18! 
46,"Hey, The number is 44! "
47,"Go back to 2021 when i was tortured
                  27     "
48,"Hey, The number is 83! "
49,Guess what... It's 40! 
50,Guess what... It's 60! 
51,"I’m selling  my 2 floor tickets for Taylor swift for March 24th 2023 @ Allegiant stadium 🏟️-Las Vegas, NV. Inbox me if you’re interested in getting them ‼️
          13"
52,You are not gonna believe it.. It's 12! 
53,"Hey, The number is 94! "
54,"Goodbye 

"
55,"Careful, Because it's 96! "
56,The number is.. 30! 
57,"Are you ready for the hype? Ready, Set... IT'S 99!!! "
58,"If . wants to REALLY WIN… Listen Elno, bring . back to the way it was before the REAL  introduction of the  in 16’. Millions of detractors will immediately become fans. Truth! !! "
59,"Hey, The number is 57! "
60,OH MY GOD IT'S 42! 
61,OH MY GOD IT'S 93! 
62,Guess what... It's 74! 
63,OH MY GOD IT'S 64! 
64,"Hi,I'm selling 2 of my Taylor swift tickets for Allegiant Stadium,Las Vegas,NV.On Fri,Mar 24@ 6:30pm .DM me if you're interested. Looking to sell at a cheaper price        "
65,OH MY GOD IT'S 7! 
66,You are not gonna believe it.. It's 31! 
67,"Careful, Because it's 16! "
68,The number is.. 99! 
69,The number is.. 17! 
70,OH MY GOD IT'S 88! 
71,The number is.. 34! 
72,"Are you ready for the hype? Ready, Set... IT'S 52!!! "
73,OH MY GOD IT'S 76! 
74,OH MY GOD IT'S 6! 
75,"Careful, Because it's 9! "
76,OH MY GOD IT'S 77! 
77,Guess what... It's 15! 
78,OH MY GOD IT'S 84! 
79,You are not gonna believe it.. It's 60! 
80,OH MY GOD IT'S 69 LOLLLLLLLLLLLLL!!!! 
81,You are not gonna believe it.. It's 92! 
82,Guess what... It's 44! 
83,"Are you ready for the hype? Ready, Set... IT'S 25!!! "
84,"We are trialling Mastodon to replace Twitter. Its the cool new kid on the block. Find us there: 

   "
85,Guess what... It's 47! 
86,"Hey, The number is 95! "
87,Guess what... It's 21! 
88,"Careful, Because it's 27! "
89,OH MY GOD IT'S 53! 
90,You are not gonna believe it.. It's 63! 
91,"Are you ready for the hype? Ready, Set... IT'S 47!!! "
92,The number is.. 51! 
93,"Hey, The number is 93! "
94,"Careful, Because it's 13! "
95,"Careful, Because it's 97! "
96,Guess what... It's 77! 
97,OH MY GOD IT'S 100 MAXIMUM NUMBER..! 
98,You are not gonna believe it.. It's 70 sooo close! 
99,"Careful, Because it's 78! "
100,The number is.. 12! 
101,"Clyde’s tweets already indicate tht making $$ is NOT the goal, but instead controlling public info to achieve oligarchy agendas (quashing regulations, attn to corp misdeeds, NOT centering labor &amp; CivRts) is central to the sabotage plan.  
 obtuse on this "
102,"I'm slightly embarrassed by how funny I thought this was this morning. Eight hours later, it's still funny, so I'm posting it on this decaying platform. 

  "
103,"Careful, Because it's 55! "
104,You are not gonna believe it.. It's 55! 
105,"Careful, Because it's 54! "
106,"Are you ready for the hype? Ready, Set... IT'S 34!!! "
107,"Careful, Because it's 43! "
108,"Hey, The number is 89! "
109,"Are you ready for the hype? Ready, Set... IT'S 97!!! "
110,You are not gonna believe it.. It's 58! 
111,"Situation Report        



 "
112,"Are you ready for the hype? Ready, Set... IT'S 33!!! "
113,OH MY GOD IT'S 34! 
114,"Careful, Because it's 18! "
115,OH MY GOD IT'S 61! 
116,"Are you ready for the hype? Ready, Set... IT'S 38!!! "
117,"Situation Report        



 "
118,You are not gonna believe it.. It's 28! 
119,The number is.. 73! 
120,Guess what... It's 28! 
121,": The owners here are worshipping . And what ? Check my  account _
turned off on March 2020 without a word nor response when questioned. Elon &amp; his  promises reinstating it but again, it isn’t.   "
122,Situation Report         
123,You are not gonna believe it.. It's 90! 
124,Guess what... It's 58! 
125,"A poignant video about the demise of this most beloved community 
 "
126,"Hey, The number is 37! "
127,Former  employee: We tried the changes  is proposing. It didn't work.  
128,Guess what... It's 97! 
129,"Are you ready for the hype? Ready, Set... IT'S 65!!! "
130,"Are you ready for the hype? Ready, Set... IT'S 73!!! "
131,"When policies and moderation don't depend on money, decisions can be made for the benefit of the users.  2/2
 "
132,"Society will be better off as more people move from  to .
It's transparent and open source, and what gets prioritized does not depend on advertising.  1/2

"
133,The number is.. 45! 
134,You are not gonna believe it.. It's 83! 
135,OH MY GOD IT'S 92! 
136,.’s ‘ Files’ offers details on Hunter Biden laptop story - The   
137,"Careful, Because it's 60! "
138," that is where we ended up with , facts are facts &amp; opinions are that opinions &amp; everyone has them &amp; they do not become facts or true, that is why users &amp; advertisers prefer moderation that this site has become like  on steroids, well explained "
139,OH MY GOD IT'S 28! 
140,"Hate Speech’s Rise on Twitter Under Elon Musk Is Unprecedented, Researchers Find - The New York Times  

   
  "
141,"Hey, The number is 15! "
142,OH MY GOD IT'S 99! 
143,You are not gonna believe it.. It's 73! 
144,"Hey, The number is 93! "
145,"Selling  my tickets for Taylor swift concert may 26 at MetLife stadium,East Rutherford, NJ text if you can afford to buy them ..  
       "
146,"Selling my Taylor swift tickets for may 26 @ East Rutherford, NJ..text me if you want them  
       "
147,"Anyone buying  my tickets for Taylor swift concert may 26 at MetLife stadium,East Rutherford, NJ..  
       "
148,"I’ve Got tickets for Taylor swift concert for March 24th @ Allegiant Stadium - Las Vegas, NV. Msg me if you’re interested🧟‍♂️ 
         "
149,"Looking to sell my tickets for Taylor swift concert may 26th at MetLife Stadium Drive,East Rutherford, NJ . Interested pls text me for info !! 
       "
150,"I wanna sell tickets for Taylor swift concert for Fri April 14th @ Raymond James stadium - Tampa,FL.. y’all text me if you want them💀  
       "
151,OH MY GOD IT'S 91! 
152,It’s getting buggy in here 🪲
153,"Still want to sell  my 2 floor tickets for Taylor swift for March 24th2023 @ Allegiant stadium 🏟️-Las Vegas, NV. Inbox me if you’re interested in getting them ‼️
         13"
154,The number is.. 82! 
155,OH MY GOD IT'S 95! 
156,"Situation Report        



 "
157, Keeps Missing Its Advertising Targets as Woes Mount     
158,"Hey, The number is 3! "
159,Guess what... It's 31! 
160," Zzzzzzzz.....Twitter hasn't gone bust yet?

Wake me when it happens.

Zzzzzzzzz........

"
161, buyout of  means not only he has never read the #1stAmendment &amp; misinterpreted  but has abrogated the right to be the   or main spreader of  also showed his very poor management skills  
162,The number is.. 85! 
163,"Are you ready for the hype? Ready, Set... IT'S 80!!! "
164,"Hey, The number is 61! "
165," Guys I'm really trying here, but there is nothing relevant or of substance on my feed anymore. It's like when my aol email ended up with too much spam so I stopped using it. 🤷🏻‍♀️ Twitter is 💩."
166,"Are you ready for the hype? Ready, Set... IT'S 36!!! "
167,remember when everyone goes  for just a whole day ?
168,"Situation Report        



 "
169,"Careful, Because it's 21! "
170,The number is.. 66! 
171, Twitter is a waste of time.. 
172,"I’m selling my 2 floor for Taylor swift for March 24th/25th 2023 @ Allegiant stadium 🏟️-Las Vegas, NV. Inbox me if you’re interested in getting them ‼️
        13"
173,"Hey, The number is 5! "
174,The number is.. 68 sooo close! 
175,"Are you ready for the hype? Ready, Set... IT'S 63!!! "
176,"Hey, The number is 28! "
177," So now that Twitter is going Parler, could we maybe have someone not on the far-right spectrum nor complying with extremists to buy Parler to turn it into twitter? (No, really not you  !)
"
178,         Frenzy Playlist ItsACityOfApes The Ape News Pictogram Service     See the individual entry on the playlist for further descriptions. 
179,         Frenzy Playlist ItsACityOfApes The Ape News Pictogram Service     See the individual entry on the playlist for further descriptions. 
180,         Frenzy Playlist ItsACityOfApes The Ape News Pictogram Service     See the individual entry on the playlist for further descriptions. 
181,         Frenzy Playlist ItsACityOfApes The Ape News Pictogram Service     See the individual entry on the playlist for further descriptions. 
182,"Careful, Because it's 52! "
183,"Hey, The number is 75! "
184,"Hey, The number is 46! "
185,Day 14 since  but Twitter is still alive.
186,"Are you ready for the hype? Ready, Set... IT'S 53!!! "
187,The number is.. 37! 
188,"Hey, The number is 72! "
189,"Are you ready for the hype? Ready, Set... IT'S 31!!! "
190,"Careful, Because it's 61! "
191,"I don't think anybody would see this , cause  is dead and everyone has moved to  . 

 
"
192,The number is.. 43! 
193,Guess what... It's 13! 
194,The number is.. 84! 
195,"Hey, The number is 87! "
196,Guess what... It's 41! 
197,"Hate Speech’s Rise on Twitter Is Unprecedented, Researchers Find. “Elon Musk sent up the Bat Signal to every kind of racist, misogynist and homophobe that Twitter was open for business.”   "
198,The number is.. 72! 
199,You are not gonna believe it.. It's 10! 
200,"Careful, Because it's 1! "
201,The number is.. 13! 
202,"Anyone notice that 2022 is half way over, and Twitter is still up and running?

Imagine that.  

"
203,The number is.. 57! 
204,OH MY GOD IT'S 43! 
205,"Hey, The number is 63! "
206,You are not gonna believe it.. It's 56! 
207,You are not gonna believe it.. It's 97! 
208,Guess what... It's 36! 
209,"I be Sellin my tickets for Taylor swift for March 24th @ Allegiant Stadium - Las Vegas, NV. Pls text me if you want them🤧
         "
210,"Are you ready for the hype? Ready, Set... IT'S 21!!! "
211,"Hey, The number is 85! "
212,Guess what... It's 5! 
213,"Careful, Because it's 31! "
214,"Are you ready for the hype? Ready, Set... IT'S 12!!! "
215,"If anyone interested in winning 0.1+  per day, dm me.
Its not for everyone but still easy.

                 "
216,Guess what... It's 25! 
217,You are not gonna believe it.. It's 98! 
218,OH MY GOD IT'S 10! 
219,"Hey, The number is 65! "
220,You are not gonna believe it.. It's 7! 
221,"Careful, Because it's 88! "
222," The more you kill Twitter, the less it becomes part of the global social media ecosystem!     "
223,The number is.. 79! 
224, Nearly 120M followers and less than  1% response rate …   
225,OH MY GOD IT'S 69 LOLLLLLLLLLLLLL!!!! 
226,788191241   Good he is going to need you with the  project …  by the way don’t forget the $8 … Elon needs your money. 
227,_On   😂😂😂  Elon is trying to convince himself!!   is working overtime with their  to fill useless fake information … those are what Elons counting on.. &amp; the $8 joke of pay-to-play     
228,"People question weather or not aliens built the Egyptian pyramids or humans, who built the pyramids in Mexico   ?"
229,The number is.. 31! 
230,"Hey, The number is 24! "
231,"Hey, The number is 60! "
232,The number is.. 38! 
233,"I am just here, to watch as  sinks like the Titanic because  decided it was ""smart"" to let go of the ONLY people who know how to keep the site running smoothly... Literally  "
234,Guess what... It's 46! 
235,You are not gonna believe it.. It's 58! 
236, I say that because those same big publications also said  a few weeks ago. 😜
237,OH MY GOD IT'S 78! 
238," Hey, everyone remember  ?? 😂"
239, Still up a day later. Current ownership is worse than useless. 
240,The number is.. 65! 
241,OH MY GOD IT'S 96! 
242,OH MY GOD IT'S 54! 
243,"Hey, The number is 94! "
244,You are not gonna believe it.. It's 13! 
245,"So that  thing.... 

(See, y'all are fucking stupid gullible shits.)

Right up there with that ""repealing Net Neutrality will change the internet forever shit""."
246,"Situation Report        



 "
247,"Careful, Because it's 18! "
248,"Are you ready for the hype? Ready, Set... IT'S 27!!! "
249,"Hey, The number is 84! "
250,Guess what... It's 22! 
251," Dude. Hire an advertising executive or marketing director or someone to help you with promoting twitter. Sales is not your thing. These tweets come off awkward af. Almost desperate.
   "
252,"Careful, Because it's 47! "
253,"I get that Big E is a big D &amp; that Twitter is not in the Top 10, but I don't want to let a bunch of gnat Cs just have it. Besides, Big E has so much money it just doesn't matter if you quit.  "
254,Guess what... It's 92! 
255,": Gangster Raju Theth was shot dead in Rajasthan’s Sikar on Saturday. He was shot dead in Udyog Nagar area of Sikar near his residence. 
"
256,    leaked big sean link noah beck song album dating madison beer charli damelio cancelled dixie vinnie hacker eddie munson taylor swift emma chamberlain james charles drama addison rae ariana grande billie eilish elon musk
257,"Hey, The number is 20! "
258," ✌️

Another institution destroyed by a rich buffoon with a huge ego and a tiny dick. "
259,"Hey, The number is 1! "
260,Eleven glorious year bitch   
261,OH MY GOD IT'S 27! 
262,The number is.. 56! 
263,"Careful, Because it's 79! "
264,The number is.. 92! 
265,You are not gonna believe it.. It's 53! 
266,"We are trialling Mastodon to replace Twitter. Its the cool new kid on the block. Find us there: 

   "
267,Guess what... It's 78! 
268,You are not gonna believe it.. It's 26! 
269,You are not gonna believe it.. It's 43! 
270,lol leftists really tried 
271,The number is.. 26! 
272," = stultus irrumabo, a 🤡 w/ 💵  Purchased  w/💰 from Saudi Arabia’s Prince Al Waleed bin Talal Al Saud &amp; the Qatar Investment Authority.  Trying desperately ⬆️ traffic by spewing BS.   2022  "
273,"Careful, Because it's 53! "
274,"Are you ready for the hype? Ready, Set... IT'S 63!!! "
275,___ I saw someone tweet it and I was like no way and then I literally went scrolling and counting. Literally every 5th. Ugh. 
276,You are not gonna believe it.. It's 86! 
277,"I am looking for 2x Taylor tickets in Glendale on the second night (3/18/22). Please IM me if you have

   
               "
278,"Careful, Because it's 75! "
279,"Are you ready for the hype? Ready, Set... IT'S 26!!! "
280,You are not gonna believe it.. It's 92! 
281,The number is.. 99! 
282," same here, it has become an unbearable , "
283,"I’ve reported so many racist and antisemitic tweets with the same reply, as a “nothing here to see”, this is ridiculous, now not even teenagers are safe here..      "
284,The number is.. 6! 
285,The number is.. 12! 
286,"Hey, The number is 56! "
287, Elon Musk is killing the company. People are leaving the platform in droves and white supremacists are coming back. Advertisers have left the platform and aren't coming back.
288,"Are you ready for the hype? Ready, Set... IT'S 40!!! "
289,The number is.. 32! 
290,68 sooo close! 
291,"Situation Report        



 "
292,"Oh, that should win over more spon...

Nah, it'll scare them all off.  "
293,Guess what... It's 29! 
294,"Are you ready for the hype? Ready, Set... IT'S 2!!! "
295,Guess what... It's 79! 
296,You are not gonna believe it.. It's 87! 
297,"Hey, The number is 73! "
298,The number is.. 35! 
299,OH MY GOD IT'S 48! 
300,"Hey, The number is 4! "
301,"Hey, The number is 59! "
302,"Are you ready for the hype? Ready, Set... IT'S 7!!! "
303,"I dunno about this ...  

 Wants to Drop More Unwanted Tweets in Users' Timelines "
304,Guess what... It's 93! 
305,Guess what... It's 67! 
306,"Evil Conspiracy Violated James Woods' Right To Put Hunter Biden's Dick On Twitter 

   
4WhenYouCantGetGreenwald    "
307,"Careful, Because it's 30! "
308,Found an old client server with  32GB of RAM I wasn’t using for anything (oops) - turned it into a Mastodon instance. You can lecture me about my wasting hardware &amp; my failing memory .org.uk if you’re into that sort of thing…   
309,You are not gonna believe it.. It's 4! 
310,"Twitter will be gone by last Monday at the latest.

"
311,"Careful, Because it's 99! "
312,Guess what... It's 98! 
313,"Are you ready for the hype? Ready, Set... IT'S 4!!! "
314,"There's not much more democratic than voting with your dollar. Who you give your money to is as important as who you don't.
         "
315,"Are you ready for the hype? Ready, Set... IT'S 91!!! "
316,You are not gonna believe it.. It's 97! 
317,OH MY GOD IT'S 40! 
318,You are not gonna believe it.. It's 10! 
319,"Antisemitic accounts on  can lead to real world violence, officials warn - The   "
320,"So I thought Twitter was going down... In 2 weeks...what happened to those who was shouting Twitter will close down?

what happened to the  &amp;  party? 😛🤣"
321,"Careful, Because it's 71! "
322,"Are you ready for the hype? Ready, Set... IT'S 59!!! "
323,The number is.. 84! 
324," against  men appeared on Twitter 2,506 times a day on average before  took over. Afterward, they jumped to 3,964 times a day, according to data, The  reported. real    can't grasp concept of  &amp; #1stAmendment in USA"
325,"Careful, Because it's 94! "
326," Exactly. 
The upwardly failing douchebag greed vibe is deafening. 
"
327,Guess what... It's 80! 
328,"  Thank you for making it clear to everyone on Earth that you do not understand the First Amendment even a little bit. 
"
329,    leaked big sean link noah beck song album dating madison beer charli damelio cancelled dixie vinnie hacker eddie munson taylor swift emma chamberlain james charles drama addison rae ariana grande billie eilish elon musk
330,So the UNSAFE  made sure the above tweet got zero views. Now the Russian-controlled American corporation thinks it can control the EU. The EU! Can't wait to see your shocked Pikachu faces.     
331,"Hey, The number is 38! "
332,"""Our scans showed that since the Musk takeover,  account names have been added to the  bios of 90K+ users and directly mentioned by 197K+ users in the last 30 days.""
     "
333,Guess what... It's 71! 
334,The number is.. 89! 
335,"Are you ready for the hype? Ready, Set... IT'S 41!!! "
336,"Hey, The number is 10! "
337,Guess what... It's 42! 
338, Why don’t U investigate WHY  received $2B from  in Saudi Arabia &amp;  ‘s Chinese licenses. Why don’t U find out WHERE ALL those missing CLASSIFIED DOCS at MAL went? But sure…tell us what happened with   
339,"Are you ready for the hype? Ready, Set... IT'S 20!!! "
340,"Are you ready for the hype? Ready, Set... IT'S 64!!! "
341,Current &amp; former federal officials warning that a  in  &amp;  about  on  is  &amp;  same  who pushed people to engage in  protests including the 6attack on .   
342,"Careful, Because it's 49! "
343,"Hey, The number is 25! "
344,The number is.. 11! 
345,You are not gonna believe it.. It's 32! 
346,You are not gonna believe it.. It's 57! 
347,  By choosing a partisan topic to show lack of transparency at Twitter he is further dividing and basically burning twitter to ground build it back. Prolly to swoon more conservative users from other platforms. 
348,The number is.. 63! 
349,The number is.. 55! 
350,OH MY GOD IT'S 22! 
351,"Are you ready for the hype? Ready, Set... IT'S 36!!! "
352,"Careful, Because it's 38! "
353,The number is.. 77! 
354,Guess what... It's 87! 
355,You are not gonna believe it.. It's 31! 
356,"Are you ready for the hype? Ready, Set... IT'S 27!!! "
357,"Are you ready for the hype? Ready, Set... IT'S 21!!! "
358,    leaked big sean link noah beck song album dating madison beer charli damelio cancelled dixie vinnie hacker eddie munson taylor swift emma chamberlain james charles drama addison rae ariana grande billie eilish elon musk
359,Guess what... It's 100 MAXIMUM NUMBER..! 
360,"Hey UNSAFE , are these the ""automated"" systems that ""automatically"" accept the false reports about my account being spam? That have done so for the past 3 years?     

"
361,Guess what... It's 54! 
362,OH MY GOD IT'S 19! 
363, I find it so funny that there were so many people on here a few weeks ago with their hashtag  that are still here 😂😂😂
364,"Are you ready for the hype? Ready, Set... IT'S 9!!! "
365,You are not gonna believe it.. It's 72! 
366,Two weeks have passed after  . And I am still noticing NOOOOO DIFFERENCE. :D
367,OH MY GOD IT'S 92! 
368,Guess what... It's 63! 
369,"Even though I enjoy having this forum, I am no less amused to watch one of the world's richest men flush 44 Billion down history's toilet. When Elon speaks, Cologuard listens. Shitters Full ! "
