,Tweets
0,"Let's repeat this:  Kevin McCarthy wished that  would strip , as well as  of their accounts. "
1,   _SC    _ICJ  _12      Trump 2024 👍🏼
2,Let’s  the  for the 6POLITICALPRISONERs. I can get behind that!  
3,_in_Vegas   The difference between Two Leaders!    
4,"Twitter Files reveal ⁦⁩ ban came after ⁦⁩ others pressured the company ⁦⁩ ⁦⁩

"
5,":     Thank you again for allowing all voices to be heard. 

Woke Activists like p…"
6,":  was right about everything.

The 2020 Election was rigged and stolen.

Trump won by a landslide.

January…"
7,  2199 _cracknell     Revenge porn is against TOS and illegal. You failed basic google
8,: BREAKING: 4 will focus on internal communications of Twitter employees coming up with a justification to B…
9,__LOVE_TRUMP:  is  ...🌬️sooon💨 
10,"Can’t dance now, couldn’t dance then, what a clown!  🤡🤡🤡🤡🤡🤡🤣🤣🤣🤣🤣🤣 "
11, … Welcome back Sir 🤝🇺🇸
12," Unfortunately, the release of this information is nothing new. Where os the real meat and bones to the truth. Where is the correspondence from the government, politicians, elites, and powerful that desires to overthrow  and America - we want the TRUTH - unfiltered"
13,"  I can agree with this, so long as the TOS is applied evenly and not ambiguous. If you know the TOS you’d know  never should have been banned. It was a left wing coup."
14,"  I agree, HE should have NEVER listened to Fauci."
15, Hey its Donald Dumb Dumb!
16, 326     It's only a description of competence if your goal is fascism.
17,  and   are spineless saps thst are making too much money from the bribery and corruption of DC. That’s why they abandoned  when he was doing the right things FOR AMERICA.
18,This is a daily reminder to  that the game ain't worth  if you're breaking all the rules.        
19," _itsjustbrit    They dont , its just the : im voting for anyone but Trump say this, any normal person wouldn’t, Trump 2024"
20,"    You mean they filtered out lies. There was &amp; is plenty of basis. Remove the hate speech, inciting violence, &amp; the lies. Those are not protected speech. Basically ban most of the GOP/GQP."
21,    Good
22,_Returns: 2199 _cracknell     The desperation to charge somebody with a crime…
23," If you invest your money in crypto currency soo my suggestion is $BNX is the best for investing in your money 💰💸💰💰💰💸💰💰💰💰💰
1BNX=1BNX  _ x  "
24," Breaking:   Files show Twitter activist employees, without basis, suppressed and censored the President of the United States,  in the days before the 2020 election. This is damning evidence of election interference."
25,"111  Breaking:   Files show Twitter activist employees, without basis, suppressed and censored the President of the United States,  in the days before the 2020 election. This is damning evidence of election interference."
26,where is da poop sock 
27,"Today is December 11, 2022 and  is the BIGGEST loser the GOP has ever created."
28,"111 Breaking:   Files show Twitter activist employees, without basis, suppressed and censored the President of the United States,  in the days before the 2020 election. This is damning evidence of election interference."
29,"_4_Trump: Law enforcement stands with President Trump for standing with us!  
  2024  h…"
30,"    If you are in a state of confusion about investment, the instructor Ye Haohua will professionally explain stock knowledge and how to correctly plan your own investment profit plan. Private chat with me on Telegram 👉👉"
31,     Can't do any worse than we are right now under this clown administration that traded the world's biggest arms dealer to get a professional useless person back.
32,"    If you are in a state of confusion about investment, the instructor Ye Haohua will professionally explain stock knowledge and how to correctly plan your own investment profit plan. Private chat with me on Telegram 👉👉"
33," Look up the definition of the word 'insurrection' and then explain how what happened on January 6, 2021, was an insurrection.

After you've done that, explain to me how  incited it."
34,:     FB and Google were - and still are - doing the same as Twitter. The same cens…
35,"Wassup  my G?
Are u just stacking drafts or what?
👀👀"
36,"It is my sad duty to report that as of the time of this tweet, Donald Trump () is not yet in prison."
37,  You don't need fences and the bulk of the local National Guard to hold an inauguration for a duly elected president. You do however need those things to install an illegitimate one.
38,_duntha 76    Exactly!!!  My Ancestors were Dinosaur Wranglers &amp; Kings before  it was all taken from them by Trump &amp; Musk!
39,2199 _cracknell     Bot the GOP and Dems influenced data. They do this with MSM and adds. Trump spread fake data and was guilty of incitement per their TOS. Totally legal.
40,1 _CatMan     Did you listen to his speech on January 6?  Because your statement makes it abundantly clear that you have no idea what he said besides the lies MSNBC has been feeding you.
41,_brouhaha   Where is the democracy here?
42,":     1) When can we get the Twitter Covid Files? 

2) Will Dr. Robert Malone…"
43,678:     I can't help but draw the parrallel this and suppression of free speech beh…
44,75  _itsjustbrit    I just followed him too. 😊
45," Breaking:   Files show Twitter activist employees, without basis, suppressed and censored the President of the United States,  in the days before the 2020 election. This is damning evidence of election interference."
46,    You are not very observant.
47, Fact-checked false misleading information. The banks in his level of finance will know the value of properties as they will lose money if they don’t. So if this did occur then they knew about it so no foul  
48,_brouhaha   If a company wanted to back off from taking political sides they should be clear and open in their approach and block both sides from their platform. This was political posturing on a grand scale to ensure one side came out on top. That’s unforgivable in a free &amp; fair society
49,"realDonaldTrump must use the next quarter to adjust the communication with the 
Confrontational response has run it's course. It has given half the country a reason to not listen to the message. 
A leader must adjust and realize perception is reality."
50,"   How many shares of Tesla did Elon sell this year,,,,,,what's the profit.....any accountants here? Doesn't Elon need a lose . ... Exposing all,getting a tax break for the lose here too.   And you all old twitter slaves now know ... nothing trended unless twitter execs said so. .."
51,"2  So cool, 2 -- looks like the Prez photo checks all the boxes for gender, race, agism, correct voting blocks....etc.
I ....do....not...truly.....think....it....was.....impromptu.....or......real? You? Asking for a friend.

  "
52,"  has denounced antisemitism numerous times. Here's one example.
"
53,"@_bojanpepic     Bo, they did that, it was called the ""Mueller Investigation"", pick up a book before tweeting."
54,:  MILLIONS of Families are waking up missing their loved ones that could have been saved by hydroclorquin&amp;Zp…
55,    Facts matter. You should try them sometime. Hate does make people ugly and explosive. So sad for you.
56,  and the good citizens of the USA are the victims.
57," Breaking:   Files show Twitter activist employees, without basis, suppressed and censored the President of the United States,  in the days before the 2020 election. This is damning evidence of election interference."
58,"  _shogun 45458754 _itsjustbrit    Oh the cartoon guys fascination with homosexuality 🙄maybe stop with the cartoons and go out and try your luck, but I’m guessing you’re one of those pop tarts and bedroom types."
59,"     I guess you missed the part where DJT (aka GOAT 45),
Said ""Peacefully"" protest. Some people did some things that were not good, but not because he said to do it. He said just the opposite."
60," reveals how much they fear President  as she turns out to be key player in getting him banned from …. 

 Files reveal  ban came after , others pressured the company -  

"
61,What Is The Cure?? The Vaccine. Has more people died from the vaccine than Covid/Flu??? Do your research and You Will Know the Answer!!! 
62,"57      Yes they are , according to you conservatives,be careful what you wish for , u might get it"
63,@15poundstogo: Where did Trump get this information?  What state(s) was he talking about?
64,":     If Fitton had his way, the actual election results would have been overturned,…"
65,"    Hear, hear!"
66," 76    I want reparations! after all I was impacted, 🤣🤣🤣"
67,"    FAKE SUPPORT..
The real anti-Semite Trump  hosted White nationalist and Holocaust denier Nick Fuentes and rapper Kanye West at his Mar-a-Lago estate demonstrating his continued willingness to associate with figures who have well-publicized anti-Semitic views.🤪🤪🤪"
68, will you guys invest in drones for 2024 so we can see the crowd sizes?  rallies will be YUGE!!!
69, Democrats still going after  is also beyond boring.
70,"     If you get shot in the back of the head twice, we won't believe it's suicide"
71,@15poundstogo: Where did Trump get this information?  What state(s) was he talking about?
72, _in_Vegas   You know most people who say something like that are too intellectually challenged to say why. They just do it because they think that's what they're supposed to say. Name one thing Trump did to make you worse off than you were before he was president. Just one...
73,  O gawd who drew this up was BORED APE 7.9
74,Where did Trump get this information?  What state(s) was he talking about? 
75,4700829        _Pence  I don't recall Pelosi or any elected official organizing or speaking at a BLM protest.
76,"11  5029216        That's not what I'm saying at all. I think I've been more than clear on this.

You said Nazis were socialists. You are wrong.

Pick up a book and learn about who they really were before drawing comparisons."
77,"Law enforcement stands with President Trump for standing with us!  
  2024  "
78, the end. 
79,    Has the Twitter experience been better for you since Elon Musk took over?
80," 1955  who is we ? If you think my comment was in support of the the other guy...sorry to disappoint..my point is, I hope he runs as a 3rd party candidate he will split the right vote and decimate the GOP which is now full of boot lickers ..mind you ...boot lickers are on both sides"
81,    Has the Twitter experience been better for you since Elon Musk took over?
82,"_shogun 45458754   _itsjustbrit    So was it an insurrection when 100’s of liberals were arrested trying 2 stop the 2017 inauguration?

Or the invasion of the capitol building 2018?

Or the invasion of d interior building?

Or the 2018 invasion of d treasury building?

Or the invasion of the capital building 2022"
83,"_in_Vegas:  No matter what you think of him, he worked his tail off for all of us! He made our country great again and now…"
84,   Wish he'd ban you too
85,    Ha ha ha now that’s a joke and lies
86,4  212   Try to remember why. INDIVIDUAL #1 was his co conspirator who has not YET been indicted
87,_itsjustbrit     Lol listening to cnn again.  Lol
88," Well this aged well. They have pretty good libraries in prison, Dickie."
89," _shogun 45458754 308 _itsjustbrit    Yes I’ve been brainwashed 😓🙏🏼 keep sucking his dick, he’ll definitely notice u soon 😼"
90,"1: Trump deserves accolades &amp; apologies. Today, many trying to take him down saying he is no longer relevant.  Be Leary of ANY R…"
91,  is dropping to his knees and begging  to come back to Twitter 🤣🤣🤣
92,     It's Truth Social.
